lag,repeat1,repeat2,pv_correlation,source_diagonal_offset
1,1,2,0.8586733437946352,1
1,2,3,0.8760782722944847,1
1,3,4,0.8745957474474343,1
1,4,5,0.87242875272511,1
1,5,6,0.8882365591936157,1
1,6,7,0.8829244428772985,1
1,7,8,0.8819572041695636,1
1,8,9,0.8797290143967843,1
1,9,10,0.8811952159306106,1
1,10,11,0.8581755601801644,1
1,11,12,0.8584392146252928,1
1,12,13,0.9027757603376337,1
1,13,14,0.905052498631386,1
1,14,15,0.876469445625109,1
1,15,16,0.8781290972800011,1
1,16,17,0.8699371162003475,1
1,17,18,0.8865666455713462,1
1,18,19,0.8997801029599815,1
1,19,20,0.8840615673233815,1
1,20,21,0.89831998929331,1
1,21,22,0.8943372872043757,1
1,22,23,0.8950424970673395,1
1,23,24,0.8868002000861068,1
1,24,25,0.877680014954483,1
1,25,26,0.854391484218782,1
1,26,27,0.8770385844033782,1
1,27,28,0.8663256927889915,1
1,28,29,0.8633136553438213,1
1,29,30,0.864652352194271,1
2,1,3,0.8170277474445802,2
2,2,4,0.8624747714207246,2
2,3,5,0.8855128177564701,2
2,4,6,0.8753648282926046,2
2,5,7,0.8865851880596304,2
2,6,8,0.8831653750467242,2
2,7,9,0.8629725248968287,2
2,8,10,0.8948517603116497,2
2,9,11,0.8349670371876504,2
2,10,12,0.8920039060629492,2
2,11,13,0.860981178399397,2
2,12,14,0.9028046677947502,2
2,13,15,0.881048715397476,2
2,14,16,0.897051604693235,2
2,15,17,0.857150619582793,2
2,16,18,0.8770968774578972,2
2,17,19,0.8765428082374612,2
2,18,20,0.8846248564206761,2
2,19,21,0.8815539139746824,2
2,20,22,0.8886034272323828,2
2,21,23,0.9084744737360044,2
2,22,24,0.9023367906312477,2
2,23,25,0.8747443550349517,2
2,24,26,0.8821054364915162,2
2,25,27,0.875434459369831,2
2,26,28,0.8594832136356064,2
2,27,29,0.8521472711652145,2
2,28,30,0.855433184224833,2
3,1,4,0.8119494378260085,3
3,2,5,0.8615065124100435,3
3,3,6,0.8693946542674299,3
3,4,7,0.8647953907446928,3
3,5,8,0.8918587378711716,3
3,6,9,0.8669584909991295,3
3,7,10,0.8999082256781977,3
3,8,11,0.8504324680310783,3
3,9,12,0.8814599394519014,3
3,10,13,0.8916537447297628,3
3,11,14,0.8650511592284799,3
3,12,15,0.8795589360896989,3
3,13,16,0.9018768838201481,3
3,14,17,0.8853175488323793,3
3,15,18,0.8773819621647323,3
3,16,19,0.8814591017307064,3
3,17,20,0.874599459843536,3
3,18,21,0.8832431299372281,3
3,19,22,0.8751538151056933,3
3,20,23,0.8926926268609228,3
3,21,24,0.8899468133302225,3
3,22,25,0.8723141153338533,3
3,23,26,0.8737321090638893,3
3,24,27,0.87524602513729,3
3,25,28,0.8568249358378559,3
3,26,29,0.837034075138414,3
3,27,30,0.8358289538779197,3
4,1,5,0.8174063168089362,4
4,2,6,0.8655130841832608,4
4,3,7,0.8762269062499938,4
4,4,8,0.8620067892477857,4
4,5,9,0.8650794204664644,4
4,6,10,0.8865635235153451,4
4,7,11,0.8510802974553445,4
4,8,12,0.8854103425649177,4
4,9,13,0.8761881182766503,4
4,10,14,0.9009839258541443,4
4,11,15,0.8420420989726384,4
4,12,16,0.8931414171908326,4
4,13,17,0.8839415717459713,4
4,14,18,0.8885313167493651,4
4,15,19,0.8789258124013436,4
4,16,20,0.87544044871196,4
4,17,21,0.8772974845376106,4
4,18,22,0.8899500968968647,4
4,19,23,0.8847439625028444,4
4,20,24,0.8735189406412174,4
4,21,25,0.8713535930062043,4
4,22,26,0.8870633833727783,4
4,23,27,0.8889581772018835,4
4,24,28,0.8628160613279501,4
4,25,29,0.8429363583089989,4
4,26,30,0.8381241144702559,4
5,1,6,0.8074152931677854,5
5,2,7,0.8704283456831595,5
5,3,8,0.8787105828884567,5
5,4,9,0.8483432583981628,5
5,5,10,0.8801503874161558,5
5,6,11,0.8384417654219593,5
5,7,12,0.884499704444669,5
5,8,13,0.8815195088987238,5
5,9,14,0.8709248128577609,5
5,10,15,0.8724025346839783,5
5,11,16,0.84241187482152,5
5,12,17,0.8790570414793634,5
5,13,18,0.8886885968254334,5
5,14,19,0.8862574808714598,5
5,15,20,0.8648323938861217,5
5,16,21,0.8799535402448306,5
5,17,22,0.8668523185606527,5
5,18,23,0.8810223940409777,5
5,19,24,0.8728631734963612,5
5,20,25,0.8589569897334783,5
5,21,26,0.8746926731187218,5
5,22,27,0.888796516286515,5
5,23,28,0.8654511782495788,5
5,24,29,0.8503389896807818,5
5,25,30,0.8429224298937361,5
6,1,7,0.8097460841579156,6
6,2,8,0.8442534545151406,6
6,3,9,0.8453286526625635,6
6,4,10,0.8574483669232744,6
6,5,11,0.8494021099144388,6
6,6,12,0.8586689137715076,6
6,7,13,0.8808320499765383,6
6,8,14,0.8808129947156029,6
6,9,15,0.858918258591149,6
6,10,16,0.888002550396127,6
6,11,17,0.8507332855164925,6
6,12,18,0.8889106677783921,6
6,13,19,0.8948324635069772,6
6,14,20,0.8775269271180162,6
6,15,21,0.8762716745018786,6
6,16,22,0.8762020936807542,6
6,17,23,0.8738232436185943,6
6,18,24,0.8773505873668328,6
6,19,25,0.8653015711013713,6
6,20,26,0.8705536453721766,6
6,21,27,0.8810150647295519,6
6,22,28,0.8754885729607033,6
6,23,29,0.8684384982648935,6
6,24,30,0.8477880734230819,6
7,1,8,0.8054405762569213,7
7,2,9,0.8246283542066412,7
7,3,10,0.8590527501212659,7
7,4,11,0.8310013752527827,7
7,5,12,0.8741966486448124,7
7,6,13,0.8617193475130499,7
7,7,14,0.8797921876466054,7
7,8,15,0.863322528728558,7
7,9,16,0.8634909235499867,7
7,10,17,0.8824541725200972,7
7,11,18,0.8458953968006443,7
7,12,19,0.8880810416889967,7
7,13,20,0.8855589962914788,7
7,14,21,0.8831252906088791,7
7,15,22,0.8523206294437998,7
7,16,23,0.8906648537975798,7
7,17,24,0.8636600579218423,7
7,18,25,0.8557724380191163,7
7,19,26,0.8557064844934392,7
7,20,27,0.8866092531684733,7
7,21,28,0.8585118834808287,7
7,22,29,0.8593220372073019,7
7,23,30,0.8487609462715936,7
8,1,9,0.7945566641081838,8
8,2,10,0.8518267943317156,8
8,3,11,0.8229498995674145,8
8,4,12,0.8520465183753583,8
8,5,13,0.8744446992505821,8
8,6,14,0.8673900858370719,8
8,7,15,0.8711517409960836,8
8,8,16,0.879462641366373,8
8,9,17,0.8528214785435426,8
8,10,18,0.8774343676811007,8
8,11,19,0.8389194071698495,8
8,12,20,0.8808079336071731,8
8,13,21,0.8841122276692434,8
8,14,22,0.8784861150896457,8
8,15,23,0.8658516512077917,8
8,16,24,0.8658768897960545,8
8,17,25,0.8461922858102197,8
8,18,26,0.8758593964181647,8
8,19,27,0.8687321914130777,8
8,20,28,0.8558478976891529,8
8,21,29,0.8523730243858668,8
8,22,30,0.85131519955713,8
9,1,10,0.8038869480952111,9
9,2,11,0.826171817852029,9
9,3,12,0.8566631290348384,9
9,4,13,0.8547769811993534,9
9,5,14,0.8744202391351199,9
9,6,15,0.8415921081300064,9
9,7,16,0.8769296090671214,9
9,8,17,0.8592938596426112,9
9,9,18,0.8523517992895907,9
9,10,19,0.8656360445255589,9
9,11,20,0.8395972930482248,9
9,12,21,0.8828627249597617,9
9,13,22,0.8886018752748708,9
9,14,23,0.8911722934774325,9
9,15,24,0.8618136430913992,9
9,16,25,0.8577944343357409,9
9,17,26,0.8654711201447945,9
9,18,27,0.878900232535874,9
9,19,28,0.8489712641053443,9
9,20,29,0.8419562927619384,9
9,21,30,0.8472959628503772,9
10,1,11,0.7810457553221876,10
10,2,12,0.8423955802824474,10
10,3,13,0.8517725877072773,10
10,4,14,0.8565417496738903,10
10,5,15,0.8459444694860129,10
10,6,16,0.8621420446690109,10
10,7,17,0.8698294629840784,10
10,8,18,0.8715999358791243,10
10,9,19,0.858504772805203,10
10,10,20,0.8706678307424585,10
10,11,21,0.8506015502805261,10
10,12,22,0.8776509346825326,10
10,13,23,0.8861741366444106,10
10,14,24,0.8709278799319528,10
10,15,25,0.8524145380094056,10
10,16,26,0.8580035935787311,10
10,17,27,0.8626165068372027,10
10,18,28,0.8609613884232244,10
10,19,29,0.8563735115764393,10
10,20,30,0.8323427561165138,10
11,1,12,0.8046827143253646,11
11,2,13,0.8436521861160402,11
11,3,14,0.8481223729042004,11
11,4,15,0.8407276277711966,11
11,5,16,0.8679915587152082,11
11,6,17,0.8511350211885672,11
11,7,18,0.8648444672383067,11
11,8,19,0.8652926251422223,11
11,9,20,0.8592618284672949,11
11,10,21,0.8747514870352516,11
11,11,22,0.8419861090196805,11
11,12,23,0.879579736155372,11
11,13,24,0.8793374565768647,11
11,14,25,0.8646416573084577,11
11,15,26,0.8460270100222388,11
11,16,27,0.8642069272722438,11
11,17,28,0.8427907496104017,11
11,18,29,0.8526131140273602,11
11,19,30,0.829083737939842,11
12,1,13,0.8003864340498804,12
12,2,14,0.8451329294561182,12
12,3,15,0.8312076439920263,12
12,4,16,0.849000947803128,12
12,5,17,0.8504745166437675,12
12,6,18,0.8409731123046401,12
12,7,19,0.8642301855552403,12
12,8,20,0.8435181448129626,12
12,9,21,0.8439163612032675,12
12,10,22,0.8755348861538593,12
12,11,23,0.8366147791697041,12
12,12,24,0.8767713999402341,12
12,13,25,0.8677699757314781,12
12,14,26,0.8658828162221643,12
12,15,27,0.8723449504408757,12
12,16,28,0.8527354082916315,12
12,17,29,0.8443010692128357,12
12,18,30,0.8323894835892479,12
13,1,14,0.7981815653373977,13
13,2,15,0.8160854502486573,13
13,3,16,0.8472353231145316,13
13,4,17,0.8525466075378084,13
13,5,18,0.8458507011452298,13
13,6,19,0.83198893914924,13
13,7,20,0.867076441453482,13
13,8,21,0.8620834990852221,13
13,9,22,0.8509863325902606,13
13,10,23,0.878902589591611,13
13,11,24,0.8476922934585459,13
13,12,25,0.8533911157133183,13
13,13,26,0.8654582633433747,13
13,14,27,0.8640127703866126,13
13,15,28,0.8340124754164713,13
13,16,29,0.8481509715739646,13
13,17,30,0.8159895502477512,13
14,1,15,0.7787564218118322,14
14,2,16,0.8325297153757218,14
14,3,17,0.8340759317154707,14
14,4,18,0.8449472984004187,14
14,5,19,0.8564476315682276,14
14,6,20,0.8311982706116688,14
14,7,21,0.8655189384708325,14
14,8,22,0.8504651728786529,14
14,9,23,0.8416823096568893,14
14,10,24,0.8627455614378697,14
14,11,25,0.8270065126979103,14
14,12,26,0.860003767435046,14
14,13,27,0.8822257843312686,14
14,14,28,0.8621986690230662,14
14,15,29,0.8233223343981335,14
14,16,30,0.8298201414509505,14
15,1,16,0.7771748226269495,15
15,2,17,0.8395133538403982,15
15,3,18,0.8396561949226253,15
15,4,19,0.835621859542549,15
15,5,20,0.847394877580156,15
15,6,21,0.8360542114956361,15
15,7,22,0.8632465937477624,15
15,8,23,0.8608526183696346,15
15,9,24,0.8418299785847319,15
15,10,25,0.8568696827257625,15
15,11,26,0.8193753020566916,15
15,12,27,0.8613362348133821,15
15,13,28,0.8657345111261545,15
15,14,29,0.840779824273689,15
15,15,30,0.80840905071266,15
16,1,17,0.7870370034578934,16
16,2,18,0.8271846282949439,16
16,3,19,0.8363137733167734,16
16,4,20,0.8450139311405517,16
16,5,21,0.8512344336869089,16
16,6,22,0.8348503744228365,16
16,7,23,0.8715431849741627,16
16,8,24,0.8568455222080797,16
16,9,25,0.8341864179594751,16
16,10,26,0.8617969033093524,16
16,11,27,0.823147451936999,16
16,12,28,0.8439779761777151,16
16,13,29,0.8525583008078127,16
16,14,30,0.8344162700471346,16
17,1,18,0.7828233524350814,17
17,2,19,0.8159861235605127,17
17,3,20,0.8255990567089174,17
17,4,21,0.8297961059151632,17
17,5,22,0.852656014530122,17
17,6,23,0.8384921647005588,17
17,7,24,0.8529614730017782,17
17,8,25,0.8382584920685052,17
17,9,26,0.8336982692723549,17
17,10,27,0.8758201205148968,17
17,11,28,0.8123151630575887,17
17,12,29,0.8338819156298849,17
17,13,30,0.8273450844820406,17
18,1,19,0.7680554193100347,18
18,2,20,0.8186357048577803,18
18,3,21,0.8350234922691516,18
18,4,22,0.8351253701398494,18
18,5,23,0.8553238856604696,18
18,6,24,0.8296101583717643,18
18,7,25,0.8369583145491887,18
18,8,26,0.8401634919655822,18
18,9,27,0.8467967757123211,18
18,10,28,0.8405905246894715,18
18,11,29,0.7957986060862794,18
18,12,30,0.831193166555141,18
19,1,20,0.7798140799537331,19
19,2,21,0.8205912236136114,19
19,3,22,0.8250232119101631,19
19,4,23,0.8350798764528236,19
19,5,24,0.85052996675112,19
19,6,25,0.8305888182757964,19
19,7,26,0.8510394845391752,19
19,8,27,0.8497931277249208,19
19,9,28,0.8087215347833546,19
19,10,29,0.837348966170399,19
19,11,30,0.7917654648912333,19
20,1,21,0.786101378385574,20
20,2,22,0.8210211649659029,20
20,3,23,0.8376494833281918,20
20,4,24,0.8326832287746185,20
20,5,25,0.8376311078383645,20
20,6,26,0.8355843027686365,20
20,7,27,0.8584313091985663,20
20,8,28,0.8260958712948091,20
20,9,29,0.811840439024238,20
20,10,30,0.8338221314770634,20
21,1,22,0.7847983704461211,21
21,2,23,0.8270215341912935,21
21,3,24,0.8256349827764615,21
21,4,25,0.8258733906664705,21
21,5,26,0.8439977074869062,21
21,6,27,0.8349474274433919,21
21,7,28,0.8357136277234339,21
21,8,29,0.8263060581277636,21
21,9,30,0.7843510357339122,21
22,1,23,0.7673113123988063,22
22,2,24,0.8275525060095824,22
22,3,25,0.8047324093486627,22
22,4,26,0.8308903883540016,22
22,5,27,0.8419421341181279,22
22,6,28,0.8290815358643104,22
22,7,29,0.8269412716799811,22
22,8,30,0.8029767084625876,22
23,1,24,0.7852106837979922,23
23,2,25,0.8070948339267539,23
23,3,26,0.8236075013766607,23
23,4,27,0.8276817120588872,23
23,5,28,0.8299720087987015,23
23,6,29,0.807211438617044,23
23,7,30,0.8168125340158348,23
24,1,25,0.7601419821254364,24
24,2,26,0.8230658189717392,24
24,3,27,0.8143410623129661,24
24,4,28,0.8134639789145758,24
24,5,29,0.8229544775532739,24
24,6,30,0.7984227059752029,24
25,1,26,0.7743043226324489,25
25,2,27,0.8113359076897414,25
25,3,28,0.7877197854975175,25
25,4,29,0.8058806597861825,25
25,5,30,0.8054253442079344,25
26,1,27,0.7649791764263603,26
26,2,28,0.7888998852402559,26
26,3,29,0.7938153542607715,26
26,4,30,0.7934556087497796,26
27,1,28,0.7488360998835035,27
27,2,29,0.7852026137171051,27
27,3,30,0.783895365696894,27
28,1,29,0.7278433665781925,28
28,2,30,0.7825741080626324,28
29,1,30,0.7622767623745836,29
